iter	Passed	Remaining
1565	86274	79001
1566	86336	78953
1567	86392	78899
1568	86443	78840
1569	86494	78781
1570	86549	78726
1571	86612	78678
1572	86672	78627
1573	86734	78578
1574	86800	78533
1575	86861	78483
1576	86920	78432
1577	86979	78380
1578	87032	78323
1579	87095	78276
1580	87157	78226
1581	87217	78175
1582	87278	78126
1583	87340	78077
1584	87408	78033
1585	87470	77984
1586	87533	77936
1587	87590	77882
1588	87652	77833
1589	87712	77782
1590	87768	77728
1591	87831	77679
1592	87882	77621
1593	87942	77570
1594	88003	77520
1595	88064	77470
1596	88121	77416
1597	88185	77369
1598	88247	77319
1599	88313	77274
1600	88373	77223
1601	88428	77168
1602	88484	77113
1603	88577	77090
1604	88676	77074
1605	88787	77066
1606	88873	77038
1607	88975	77023
1608	89055	76989
1609	89148	76966
1610	89234	76937
1611	89323	76911
1612	89421	76892
1613	89521	76875
1614	89616	76854
1615	89688	76812
1616	89769	76778
1617	89853	76747
1618	89960	76736
1619	90057	76715
1620	90119	76665
1621	90185	76618
1622	90243	76565
1623	90303	76513
1624	90359	76458
1625	90422	76408
1626	90486	76360
1627	90544	76306
1628	90599	76250
1629	90663	76202
1630	90717	76145
1631	90779	76094
1632	90837	76041
1633	90900	75991
1634	90956	75936
1635	91017	75885
1636	91078	75833
1637	91139	75782
1638	91199	75730
1639	91256	75676
1640	91312	75620
1641	91377	75572
1642	91439	75522
1643	91499	75470
1644	91561	75420
1645	91622	75368
1646	91683	75317
1647	91744	75266
1648	91806	75215
1649	91868	75164
1650	91921	75107
1651	91963	75040
1652	92025	74989
1653	92089	74940
1654	92149	74889
1655	92218	74843
1656	92284	74796
1657	92347	74746
1658	92407	74694
1659	92468	74643
1660	92526	74589
1661	92590	74539
